bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
29299,1587,3855197,2429.23566477631
29490,1555,3538718,2275.70289389068
29242,2249,3515990,1563.3570475767
26159,2263,3501958,1547.48475475033
29522,1778,3161861,1778.32452193476
29535,1771,3093694,1746.86278938453
29542,1655,3093429,1869.1413897281
29596,1681,2718525,1617.20701963117
29646,1736,2707066,1559.3698156682
29246,1695,2663827,1571.57935103245
26173,1941,2617076,1348.31324059763
29674,2298,2518225,1095.83333333333
29459,1625,2488034,1531.09784615385
29438,1756,2465705,1404.16002277904
29434,1577,2433003,1542.80469245403
29623,2069,2394120,1157.13871435476
29551,1751,2373213,1355.3472301542
29224,1512,2358537,1559.87896825397
29437,1802,2316889,1285.73196448391
29252,915,2315268,2530.34754098361
26273,1648,2315167,1404.83434466019
26266,1970,2315074,1175.16446700508
26262,1672,2209851,1321.68122009569
26210,1905,2198579,1154.10971128609
26211,2052,2179658,1062.21150097466
29642,2200,2174465,988.393181818182
26160,2055,2140184,1041.45206812652
26202,1803,2129165,1180.90127565169
26293,2157,2122100,983.820120537784
29472,1824,2115856,1160.00877192982
29477,1941,2052178,1057.27872230809
42197,89,1978236,22227.3707865169
29445,1946,1973008,1013.87872559096
26172,1906,1957907,1027.23347324239
26170,2222,1932086,869.525652565257
29290,1744,1914316,1097.65825688073
29647,1369,1897025,1385.70124178232
29201,1798,1895737,1054.35873192436
26163,1829,1890922,1033.85565882996
26224,2078,1864267,897.144850818094
29474,1901,1826736,960.93424513414
29204,1698,1817528,1070.39340400471
38355,8,1807688,225961
29672,2099,1784420,850.12863268223
29537,1743,1775961,1018.91049913941
29554,1547,1755321,1134.66127989657
29273,1866,1748325,936.93729903537
26264,2115,1745939,825.503073286052
29488,1076,1737396,1614.68029739777
29598,2513,1735934,690.781536012734
29280,1825,1720014,942.473424657534
29613,2277,1710873,751.371541501976
26285,2020,1703718,843.424752475248
29640,2254,1701801,755.013753327418
42535,86,1674728,19473.5813953488
26214,2145,1664280,775.888111888112
26184,1785,1657089,928.341176470588
29599,1868,1650856,883.755888650964
29660,2056,1648695,801.894455252918
26279,1898,1634074,860.945205479452
29614,2245,1625546,724.073942093541
26158,2001,1617584,808.387806096952
29618,2186,1610916,736.92406221409
29608,2449,1610151,657.472846059616
29207,2119,1581233,746.21661160925
26197,1391,1576779,1133.55787203451
26247,1792,1573087,877.838727678572
26179,2225,1570500,705.842696629214
29296,1730,1568865,906.85838150289
29600,2053,1566208,762.887481734048
29673,2189,1565912,715.354956601188
29531,1401,1563256,1115.81441827266
26269,2215,1556648,702.775620767494
26306,2162,1555966,719.688251618871
29588,2335,1554564,665.766167023555
29612,2369,1553310,655.681722245673
29507,1936,1552462,801.89152892562
29234,1743,1548572,888.452094090648
29681,1994,1543792,774.218655967904
29255,1226,1540641,1256.64029363785
42228,61,1538572,25222.4918032787
29512,1913,1527694,798.585467851542
26292,2053,1527044,743.811008280565
26168,744,1526014,2051.09408602151
29485,1961,1523686,776.994390617032
29580,1864,1521452,816.229613733906
29619,2350,1521383,647.397021276596
29509,1765,1513940,857.756373937677
26298,2002,1511419,754.954545454546
26301,2138,1494052,698.808231992516
29528,1739,1490461,857.079355951696
29586,2330,1487247,638.303433476395
29212,1512,1486855,983.369708994709
26217,1741,1478846,849.423319931074
29217,1609,1477702,918.397762585457
26213,2182,1474819,675.902383134739
29544,1768,1472892,833.08371040724
26257,1828,1471509,804.983041575492
26296,1663,1468749,883.192423331329
26431,2216,1464837,661.027527075812
26161,2145,1460202,680.746853146853
26227,1906,1459858,765.92759706191
29205,2126,1458891,686.214016933208
26174,2060,1452752,705.219417475728
29644,2256,1451272,643.294326241135
26157,1896,1449094,764.290084388186
29239,1683,1448548,860.693998811646
29462,1722,1446464,839.990708478513
29484,1974,1441177,730.079533941236
26192,2209,1441073,652.364418288819
29468,1506,1438295,955.043160690571
29616,1947,1438139,738.643554185927
29517,1841,1435151,779.549701249321
26243,2005,1432561,714.494264339152
26175,2040,1432346,702.130392156863
26164,1945,1429804,735.117737789203
26212,1924,1426194,741.265072765073
26190,2289,1423683,621.967234600262
29284,2098,1420065,676.866062917064
29262,1904,1419698,745.639705882353
26253,2012,1418507,705.023359840954
26316,2095,1413258,674.5861575179
29520,1883,1405553,746.443441317047
26189,2114,1405149,664.687322611164
29523,1930,1404146,727.536787564767
29206,1953,1402550,718.151561699949
26252,1862,1397142,750.344790547798
26287,1966,1396204,710.17497456765
26177,1897,1394511,735.113863995783
26188,1796,1393298,775.778396436526
29658,1828,1392943,762.003829321663
29261,1876,1391769,741.881130063966
29276,2155,1386636,643.450580046404
29597,1941,1386402,714.272024729521
26258,2163,1383303,639.529819694868
26318,1887,1381789,732.267620561738
26195,1781,1381735,775.819764177428
29669,2052,1381621,673.304580896686
29249,1751,1379109,787.612221587664
26283,1963,1378977,702.48446255731
26265,1738,1376350,791.915995397008
26250,1979,1374888,694.738756947954
29504,1823,1372048,752.631925397696
26248,1818,1372019,754.685918591859
29444,1583,1364452,861.940619077701
26225,1976,1364354,690.462550607288
26219,2076,1364247,657.151734104046
29610,1906,1364040,715.655823714586
26310,1726,1363771,790.133835457706
26300,1934,1363021,704.767838676319
29569,1989,1360513,684.01860231272
26304,1829,1352988,739.741935483871
29235,1771,1346732,760.435911914173
29527,1758,1344395,764.729806598407
26236,2261,1343808,594.342326404246
26274,2127,1343427,631.606488011284
26299,1908,1341555,703.12106918239
26297,1866,1339179,717.673633440514
29495,1809,1334299,737.589275843007
26259,1784,1332892,747.136771300449
29230,1865,1331825,714.115281501341
29622,1998,1329347,665.338838838839
26303,2107,1329270,630.882771713337
29439,2013,1329265,660.340288127173
29620,2214,1328442,600.018970189702
29505,1815,1327412,731.356473829201
26223,2054,1324380,644.780915287244
26308,1875,1323035,705.618666666667
29460,1842,1318303,715.691096634093
26288,2364,1317944,557.505922165821
29466,1788,1313417,734.573266219239
29120,1862,1309028,703.022556390978
26166,2093,1307642,624.769230769231
26286,2137,1307090,611.647168928404
26204,1901,1306395,687.214623882167
29635,2062,1305531,633.138215324927
29654,2003,1305099,651.572141787319
29250,2042,1304163,638.6694417238
29604,2275,1302674,572.603956043956
29229,1562,1293110,827.855313700384
29595,2203,1290767,585.913300045393
29536,1709,1289450,754.50555880632
29458,1998,1287639,644.463963963964
29476,1560,1287437,825.280128205128
26221,2025,1285951,635.037530864198
26151,1800,1285106,713.947777777778
29222,1753,1284098,732.514546491728
29447,1818,1282753,705.584708470847
29513,1850,1282688,693.344864864865
26216,1719,1281916,745.73356602676
29272,1887,1281266,678.996290408055
29587,2308,1280746,554.915944540728
29266,1938,1278518,659.710010319917
26311,2099,1276981,608.375893282515
29662,2136,1276288,597.513108614232
26187,1585,1275320,804.618296529969
29281,1506,1274633,846.369853917663
29593,2204,1270933,576.648366606171
26251,1947,1268721,651.628659476117
29571,1541,1264820,820.778715120052
26309,1826,1263642,692.027382256298
29617,1842,1262833,685.577090119435
29469,1959,1260818,643.602858601327
26314,1976,1256854,636.05971659919
29533,1602,1256682,784.445692883895
29275,1601,1256248,784.664584634603
29245,1994,1256129,629.954363089268
26155,2082,1255850,603.194044188281
26235,1702,1254687,737.183901292597
29594,1577,1254681,795.612555485098
29498,1547,1254533,810.945701357466
29215,1616,1253813,775.874381188119
29211,1994,1250353,627.057673019057
29446,1954,1249770,639.595701125896
29506,1821,1248326,685.51674903899
29492,1852,1244778,672.126349892009
29541,1739,1244596,715.696377228292
26237,1908,1239321,649.539308176101
29621,2196,1236417,563.031420765027
29125,1459,1234739,846.291295407814
29452,1959,1234552,630.194997447677
29288,1685,1232073,731.20059347181
26206,2126,1230583,578.825493885231
29306,1835,1229985,670.291553133515
29491,1834,1226718,668.875681570338
26182,1934,1226047,633.943640124095
29208,1656,1225829,740.234903381643
26312,1684,1224642,727.222090261283
26165,1763,1224534,694.574021554169
29240,1814,1220716,672.941565600882
26215,1855,1219527,657.426954177898
26254,1872,1215031,649.055021367521
29219,1937,1213966,626.724832214765
29577,2142,1207980,563.949579831933
29556,1753,1207607,688.880205362236
29590,1763,1207230,684.758933635848
29671,1663,1206912,725.743836440168
26181,1647,1204784,731.502125075896
29232,1730,1204005,695.956647398844
29283,1839,1203851,654.622620989668
29223,1664,1203411,723.203725961538
29287,1825,1201713,658.472876712329
29479,1838,1201196,653.534276387378
29678,1885,1200033,636.622281167109
29583,2108,1199656,569.096774193548
29270,1491,1198672,803.938296445339
29231,2070,1196825,578.176328502415
29603,2115,1194708,564.873758865248
29277,1655,1188837,718.330513595166
29664,1816,1187690,654.014317180617
29605,1374,1184177,861.846433770015
26180,1533,1183877,772.261578604044
26260,2121,1182698,557.61338991042
29278,1699,1182432,695.957622130665
29259,1638,1182346,721.822954822955
29519,1587,1178756,742.757403906742
26178,1786,1178662,659.945128779395
29435,1794,1172616,653.632107023411
29253,1903,1172486,616.125065685759
29214,1974,1171272,593.349544072948
26238,1623,1170792,721.375231053604
29257,1907,1170763,613.929208180388
26207,1673,1170194,699.458457860132
29553,1356,1169846,862.718289085546
29653,1788,1166203,652.238814317673
29572,1853,1165995,629.247166756611
29463,1756,1165579,663.769362186788
29548,1758,1165164,662.778156996587
29465,1993,1164923,584.507275464124
29256,1761,1164603,661.330494037479
29457,1445,1163654,805.296885813149
26255,1880,1162920,618.574468085106
29584,2154,1161201,539.090529247911
29289,1632,1159532,710.497549019608
26268,1864,1159425,622.009120171674
26276,1972,1159268,587.864097363083
26226,1851,1156136,624.60075634792
29525,1807,1155267,639.328721638074
29210,1910,1152347,603.323036649215
29269,1775,1150345,648.081690140845
26275,2141,1149708,536.995796356843
29233,1626,1148943,706.607011070111
29268,1614,1147684,711.080545229244
29611,2091,1147657,548.855571496892
29123,1361,1146636,842.495224099927
29286,1962,1146423,584.313455657492
26233,1934,1146211,592.663391933816
29227,1834,1145322,624.494002181025
29550,1677,1143657,681.966010733453
29124,1407,1143627,812.81236673774
29521,1660,1142762,688.410843373494
26290,1914,1142235,596.778996865204
29499,1797,1141426,635.184195882026
29629,1736,1141210,657.379032258065
26209,2037,1141150,560.211094747177
29122,1657,1139741,687.834037417019
29628,1949,1136674,583.208825038481
29668,2086,1136434,544.790987535954
29675,1832,1133659,618.809497816594
29451,1706,1132561,663.869284876905
29643,1773,1131685,638.288212069938
29221,1760,1131244,642.752272727273
26185,1705,1131104,663.404105571848
29667,1689,1129266,668.600355239787
29539,1730,1128988,652.594219653179
26291,1944,1128894,580.706790123457
29497,1722,1128450,655.313588850174
29589,1886,1127722,597.943796394486
26281,1660,1126999,678.915060240964
26191,1848,1126163,609.395562770563
26294,1887,1125122,596.249072602014
26272,1896,1124886,593.294303797468
26152,1737,1123854,647.008635578584
29200,1746,1122746,643.038946162658
26284,1456,1122498,770.946428571429
29494,1874,1122161,598.80522945571
29547,1627,1121782,689.478795328826
29607,2041,1121205,549.341009309162
26307,1807,1120744,620.223574986165
26295,2074,1120300,540.16393442623
26193,1897,1118974,589.865050079072
29530,1727,1118608,647.717429067748
29552,1826,1116219,611.291894852136
26302,1870,1115605,596.580213903743
29626,2041,1112339,544.997060264576
29263,1635,1111562,679.854434250765
26198,1746,1109355,635.36941580756
29670,1669,1107252,663.422408627921
26280,1693,1106582,653.621972829297
29292,1697,1105725,651.576311137301
29576,1827,1105605,605.147783251232
26267,1880,1104655,587.582446808511
26271,1843,1104230,599.148128052089
29496,1815,1102798,607.602203856749
29609,1448,1100479,759.999309392265
29455,1857,1100450,592.595584275713
26289,1977,1100114,556.456246838645
29203,1914,1098513,573.935736677116
26305,1879,1098107,584.410324640766
29682,1587,1095338,690.194076874606
29546,1875,1093775,583.346666666667
29260,1727,1092806,632.777070063694
29475,1612,1091544,677.136476426799
29510,1548,1088865,703.401162790698
26239,1941,1087163,560.104585265327
26162,1558,1085923,696.998074454429
29634,1940,1084531,559.036597938144
29198,1445,1083781,750.021453287197
26200,1799,1083582,602.324624791551
21078,1,1083543,1083543
29218,1468,1082303,737.263623978202
26232,1634,1081211,661.695838433293
29482,1862,1079762,579.893662728249
33632,251,1077169,4291.50996015936
29514,1683,1073434,637.809863339275
29540,1741,1072185,615.844342331993
29483,1827,1072146,586.834154351396
29526,1784,1071330,600.521300448431
42421,103,1069823,10386.6310679612
29486,1686,1068081,633.5
29606,1886,1066457,565.459703075292
29645,1814,1064839,587.01157662624
29575,1633,1064248,651.713410900184
26196,2052,1063668,518.356725146199
26205,1790,1062831,593.760335195531
29503,1767,1061986,601.010752688172
29666,1973,1060350,537.430309173847
29213,1851,1058997,572.121555915721
29225,1857,1058643,570.08239095315
29461,1634,1058385,647.726438188495
29655,1768,1057203,597.965497737557
29636,1507,1056577,701.112806901128
29440,1876,1054896,562.311300639659
26186,1609,1054695,655.497203231821
26220,1683,1054114,626.33036244801
29516,1669,1053056,630.950269622529
26208,1685,1052914,624.874777448071
29473,1696,1052310,620.465801886792
26199,1741,1052302,604.423894313613
29199,1785,1052197,589.466106442577
26203,1773,1051124,592.850535815003
26156,1777,1049287,590.482273494654
29508,1726,1048268,607.339513325608
29293,1691,1045662,618.369012418687
29282,1655,1045294,631.597583081571
29511,1698,1042350,613.86925795053
29665,1764,1041448,590.390022675737
29197,1763,1036234,587.767441860465
29652,1541,1035480,671.953277092797
29236,1741,1032123,592.833429063757
26222,1717,1030545,600.200931857892
29518,1629,1030060,632.326580724371
26153,1830,1029284,562.450273224044
29271,1714,1028471,600.041423570595
29449,1671,1026452,614.274087372831
29538,1757,1025526,583.680136596471
26230,1741,1025513,589.036760482481
29659,1638,1025501,626.068986568987
26171,1571,1024770,652.304264799491
29676,1862,1024714,550.329752953813
29500,1666,1023302,614.226890756303
29591,1991,1023157,513.891009542943
29241,1842,1021896,554.775244299674
29307,1606,1020855,635.650684931507
29677,1737,1020102,587.278065630397
29247,1809,1018553,563.047540077391
29295,1677,1018117,607.106141920095
29258,1723,1017843,590.738827626233
26244,1710,1016575,594.488304093567
26278,1669,1016303,608.929298981426
29638,1687,1014091,601.120924718435
26277,1847,1013823,548.902544667028
29291,1622,1013063,624.576448828607
29624,1095,1012529,924.68401826484
29615,1766,1011856,572.964892412231
29265,1626,1011373,622.00061500615
29502,1712,1009952,589.92523364486
29209,1634,1009281,617.675030599755
26240,1515,1005778,663.879867986799
29244,1384,1004811,726.01950867052
29480,1654,1002534,606.126964933495
25421,39,1001320,25674.8717948718
29251,1529,997747,652.548724656638
29264,1670,997227,597.141916167665
26228,1876,997087,531.496268656716
29298,1594,995759,624.691969887077
29126,1647,994504,603.827565270188
29448,1491,992169,665.438631790745
29582,1849,992016,536.514872904273
29641,1858,991504,533.640473627557
26234,1816,990250,545.291850220264
29297,1740,985261,566.241954022989
26183,1523,984206,646.228496388707
26229,1053,984054,934.524216524217
29489,1877,973409,518.598295151838
29524,1542,972977,630.983787289235
29248,1362,971351,713.179882525698
29601,1706,970992,569.162954279015
26261,1548,969794,626.481912144703
29515,1508,969057,642.61074270557
29639,1594,961715,603.334378920954
29267,1666,958831,575.52881152461
29534,1685,958503,568.844510385757
29228,1686,955290,566.601423487545
29470,1652,954712,577.912832929782
29220,1458,953607,654.051440329218
26241,1484,952268,641.690026954178
29226,1673,951076,568.485355648536
26167,1589,950874,598.410320956577
29581,1634,950060,581.432068543452
29570,1196,949508,793.903010033445
29243,1524,940882,617.376640419948
29578,1713,936619,546.771161704612
29453,1669,935217,560.345715997603
29441,1719,935124,543.993019197208
29663,1502,934012,621.845539280959
29545,1233,932469,756.260340632603
26270,1517,931205,613.846407382993
29305,1496,927104,619.72192513369
26317,1462,921359,630.204514363885
29294,1695,921202,543.482005899705
29487,1449,918368,633.794340924776
26194,1492,917148,614.710455764075
29481,1420,916163,645.185211267606
29555,1605,908607,566.110280373832
26201,1667,904225,542.426514697061
33658,504,900963,1787.625
29467,1485,897951,604.680808080808
29254,1550,895161,577.523225806452
29121,1554,894140,575.379665379666
29679,1552,891860,574.65206185567
26263,1547,888349,574.239819004525
26315,1013,886931,875.548864758144
29301,1384,885571,639.863439306358
29657,1125,885382,787.006222222222
29532,1503,882544,587.188290086494
29450,1487,878703,590.923335574983
29471,1535,878107,572.05667752443
26242,1647,868805,527.50758955677
26282,1235,866079,701.278542510122
29302,1688,860286,509.648104265403
29602,1564,856331,547.52621483376
29592,1520,851161,559.974342105263
29680,1482,848632,572.626180836707
29300,1292,846342,655.06346749226
29442,989,846131,855.541961577351
29279,1478,845960,572.368064952639
29661,1484,841982,567.373315363881
29238,1104,839401,760.326992753623
42341,63,825941,13110.1746031746
29549,1273,825796,648.700706991359
29454,1275,822001,644.706666666667
26245,1499,820055,547.068045363576
26246,913,813449,890.962760131435
33615,239,805567,3370.57322175732
29303,1455,790101,543.024742268041
29529,1416,784249,553.848163841808
29308,1494,781478,523.077643908969
29573,1519,781361,514.391705069124
29202,1112,780334,701.739208633094
29627,1408,762849,541.796164772727
33609,344,759694,2208.41279069767
26256,1275,749404,587.767843137255
26249,1025,734394,716.481951219512
29127,999,733590,734.324324324324
33594,708,714596,1009.31638418079
26169,1131,702580,621.202475685234
29274,1125,700227,622.424
31547,73,675064,9247.45205479452
29443,1096,666745,608.34397810219
29285,1248,662603,530.931891025641
29579,1113,660662,593.586702605571
33613,641,642250,1001.95007800312
29656,1088,639563,587.833639705882
29304,1111,627620,564.914491449145
29237,1134,626999,552.909171075838
33566,616,594241,964.676948051948
33654,586,577995,986.339590443686
33652,578,574430,993.823529411765
29216,933,571494,612.533762057878
42264,87,566574,6512.34482758621
33638,625,558832,894.1312
33646,521,552731,1060.90403071017
32831,228,536971,2355.13596491228
33653,576,535085,928.967013888889
33580,555,520521,937.875675675676
33628,614,518878,845.078175895766
33640,652,516582,792.303680981595
33570,616,509778,827.561688311688
33660,654,496753,759.561162079511
33569,712,479057,672.832865168539
33612,644,477426,741.344720496895
33563,661,472362,714.617246596067
33592,585,470188,803.740170940171
31861,625,469822,751.7152
33620,701,469719,670.069900142653
29456,714,469437,657.474789915966
33619,559,465798,833.270125223614
31877,457,461675,1010.22975929978
33604,616,460890,748.198051948052
33641,513,459014,894.764132553606
31683,545,443794,814.300917431193
33682,598,439166,734.391304347826
33668,634,437259,689.682965299685
33679,654,435719,666.237003058104
33579,637,434485,682.080062794349
29493,835,431257,516.475449101796
33590,608,429296,706.078947368421
33621,729,425530,583.717421124829
33625,692,423941,612.631502890174
33681,216,422498,1956.00925925926
33657,690,421716,611.182608695652
37987,757,420173,555.050198150595
33662,605,419936,694.109090909091
33633,581,418154,719.714285714286
